area_name,status,state,1990,2000,2010,2017
Hillsdale,Micropolitan Statistical Area,MI,43431,46540,46688,45879
Hilo,Micropolitan Statistical Area,HI,120317,148641,185076,200381
Hilton Head Island - Bluffton - Beaufort,Metropolitan Statistical Area,SC,101912,141603,187010,215302
Hinesville,Metropolitan Statistical Area,GA,58947,71934,77919,80400
Hobbs,Micropolitan Statistical Area,NM,55765,55528,64727,68759
Holland,Micropolitan Statistical Area,MI,90509,105631,111410,116447
Homosassa Springs,Metropolitan Statistical Area,FL,93513,118106,141236,145647
Honolulu,Metropolitan Statistical Area,HI,836231,876159,953209,988650
Hood River,Micropolitan Statistical Area,OR,16903,20407,22346,23377
Hope,Micropolitan Statistical Area,AR,31722,33537,31613,30188
